PLANNING AREA,SUBZONE,Age,Sex,Population
PIONEER,PIONEER SECTOR,76,Females,-
PIONEER,PIONEER SECTOR,77,Total,-
PIONEER,PIONEER SECTOR,77,Males,-
PIONEER,PIONEER SECTOR,77,Females,-
PIONEER,PIONEER SECTOR,78,Total,-
PIONEER,PIONEER SECTOR,78,Males,-
PIONEER,PIONEER SECTOR,78,Females,-
PIONEER,PIONEER SECTOR,79,Total,-
PIONEER,PIONEER SECTOR,79,Males,-
PIONEER,PIONEER SECTOR,79,Females,-
PIONEER,PIONEER SECTOR,80,Total,-
PIONEER,PIONEER SECTOR,80,Males,-
PIONEER,PIONEER SECTOR,80,Females,-
PIONEER,PIONEER SECTOR,81,Total,-
PIONEER,PIONEER SECTOR,81,Males,-
PIONEER,PIONEER SECTOR,81,Females,-
PIONEER,PIONEER SECTOR,82,Total,-
PIONEER,PIONEER SECTOR,82,Males,-
PIONEER,PIONEER SECTOR,82,Females,-
PIONEER,PIONEER SECTOR,83,Total,-
PIONEER,PIONEER SECTOR,83,Males,-
PIONEER,PIONEER SECTOR,83,Females,-
PIONEER,PIONEER SECTOR,84,Total,-
PIONEER,PIONEER SECTOR,84,Males,-
PIONEER,PIONEER SECTOR,84,Females,-
PIONEER,PIONEER SECTOR,85,Total,-
PIONEER,PIONEER SECTOR,85,Males,-
PIONEER,PIONEER SECTOR,85,Females,-
PIONEER,PIONEER SECTOR,86,Total,-
PIONEER,PIONEER SECTOR,86,Males,-
PIONEER,PIONEER SECTOR,86,Females,-
PIONEER,PIONEER SECTOR,87,Total,-
PIONEER,PIONEER SECTOR,87,Males,-
PIONEER,PIONEER SECTOR,87,Females,-
PIONEER,PIONEER SECTOR,88,Total,-
PIONEER,PIONEER SECTOR,88,Males,-
PIONEER,PIONEER SECTOR,88,Females,-
PIONEER,PIONEER SECTOR,89,Total,-
PIONEER,PIONEER SECTOR,89,Males,-
PIONEER,PIONEER SECTOR,89,Females,-
PIONEER,PIONEER SECTOR,90 & Over,Total,-
PIONEER,PIONEER SECTOR,90 & Over,Males,-
PIONEER,PIONEER SECTOR,90 & Over,Females,-
PUNGGOL,TOTAL,Total,Total,199400 
PUNGGOL,TOTAL,Total,Males,97930 
PUNGGOL,TOTAL,Total,Females,101470 
PUNGGOL,TOTAL,0 ,Total,2080 
PUNGGOL,TOTAL,0 ,Males,1060 
PUNGGOL,TOTAL,0 ,Females,1030 
PUNGGOL,TOTAL,1 ,Total,2300 
PUNGGOL,TOTAL,1 ,Males,1170 
PUNGGOL,TOTAL,1 ,Females,1130 
PUNGGOL,TOTAL,2 ,Total,2560 
PUNGGOL,TOTAL,2 ,Males,1320 
PUNGGOL,TOTAL,2 ,Females,1240 
PUNGGOL,TOTAL,3 ,Total,2620 
PUNGGOL,TOTAL,3 ,Males,1320 
PUNGGOL,TOTAL,3 ,Females,1300 
PUNGGOL,TOTAL,4 ,Total,3010 
PUNGGOL,TOTAL,4 ,Males,1480 
PUNGGOL,TOTAL,4 ,Females,1530 
PUNGGOL,TOTAL,5 ,Total,3070 
PUNGGOL,TOTAL,5 ,Males,1550 
PUNGGOL,TOTAL,5 ,Females,1520 
PUNGGOL,TOTAL,6 ,Total,2990 
PUNGGOL,TOTAL,6 ,Males,1560 
PUNGGOL,TOTAL,6 ,Females,1430 
PUNGGOL,TOTAL,7 ,Total,3140 
PUNGGOL,TOTAL,7 ,Males,1570 
PUNGGOL,TOTAL,7 ,Females,1570 
PUNGGOL,TOTAL,8 ,Total,3320 
PUNGGOL,TOTAL,8 ,Males,1730 
PUNGGOL,TOTAL,8 ,Females,1580 
PUNGGOL,TOTAL,9 ,Total,3230 
PUNGGOL,TOTAL,9 ,Males,1680 
PUNGGOL,TOTAL,9 ,Females,1550 
PUNGGOL,TOTAL,10 ,Total,3070 
PUNGGOL,TOTAL,10 ,Males,1600 
PUNGGOL,TOTAL,10 ,Females,1470 
PUNGGOL,TOTAL,11 ,Total,2990 
PUNGGOL,TOTAL,11 ,Males,1570 
PUNGGOL,TOTAL,11 ,Females,1420 
PUNGGOL,TOTAL,12 ,Total,2930 
PUNGGOL,TOTAL,12 ,Males,1570 
PUNGGOL,TOTAL,12 ,Females,1360 
PUNGGOL,TOTAL,13 ,Total,2630 
PUNGGOL,TOTAL,13 ,Males,1330 
PUNGGOL,TOTAL,13 ,Females,1300 
PUNGGOL,TOTAL,14 ,Total,2570 
PUNGGOL,TOTAL,14 ,Males,1350 
PUNGGOL,TOTAL,14 ,Females,1230 
PUNGGOL,TOTAL,15 ,Total,2400 
PUNGGOL,TOTAL,15 ,Males,1260 
PUNGGOL,TOTAL,15 ,Females,1140 
PUNGGOL,TOTAL,16 ,Total,2390 
PUNGGOL,TOTAL,16 ,Males,1230 
PUNGGOL,TOTAL,16 ,Females,1160 
PUNGGOL,TOTAL,17 ,Total,2220 
PUNGGOL,TOTAL,17 ,Males,1130 
PUNGGOL,TOTAL,17 ,Females,1090 
PUNGGOL,TOTAL,18 ,Total,2190 
PUNGGOL,TOTAL,18 ,Males,1100 
PUNGGOL,TOTAL,18 ,Females,1090 
PUNGGOL,TOTAL,19 ,Total,1960 
PUNGGOL,TOTAL,19 ,Males,980 
PUNGGOL,TOTAL,19 ,Females,980 
PUNGGOL,TOTAL,20 ,Total,1840 
PUNGGOL,TOTAL,20 ,Males,940 
PUNGGOL,TOTAL,20 ,Females,900 
PUNGGOL,TOTAL,21 ,Total,1850 
PUNGGOL,TOTAL,21 ,Males,940 
PUNGGOL,TOTAL,21 ,Females,920 
PUNGGOL,TOTAL,22 ,Total,1650 
PUNGGOL,TOTAL,22 ,Males,860 
PUNGGOL,TOTAL,22 ,Females,790 
PUNGGOL,TOTAL,23 ,Total,1870 
PUNGGOL,TOTAL,23 ,Males,960 
PUNGGOL,TOTAL,23 ,Females,900 
PUNGGOL,TOTAL,24 ,Total,1730 
PUNGGOL,TOTAL,24 ,Males,890 
PUNGGOL,TOTAL,24 ,Females,850 
PUNGGOL,TOTAL,25 ,Total,1710 
PUNGGOL,TOTAL,25 ,Males,910 
PUNGGOL,TOTAL,25 ,Females,790 
PUNGGOL,TOTAL,26 ,Total,1670 
PUNGGOL,TOTAL,26 ,Males,800 
PUNGGOL,TOTAL,26 ,Females,870 
PUNGGOL,TOTAL,27 ,Total,1770 
PUNGGOL,TOTAL,27 ,Males,840 
PUNGGOL,TOTAL,27 ,Females,930 
PUNGGOL,TOTAL,28 ,Total,2000 
PUNGGOL,TOTAL,28 ,Males,940 
PUNGGOL,TOTAL,28 ,Females,1060 
PUNGGOL,TOTAL,29 ,Total,2310 
PUNGGOL,TOTAL,29 ,Males,1000 
PUNGGOL,TOTAL,29 ,Females,1310 
PUNGGOL,TOTAL,30 ,Total,2700 
PUNGGOL,TOTAL,30 ,Males,1180 
PUNGGOL,TOTAL,30 ,Females,1520 
PUNGGOL,TOTAL,31 ,Total,2870 
PUNGGOL,TOTAL,31 ,Males,1270 
PUNGGOL,TOTAL,31 ,Females,1600 
PUNGGOL,TOTAL,32 ,Total,3170 
PUNGGOL,TOTAL,32 ,Males,1400 
PUNGGOL,TOTAL,32 ,Females,1770 
PUNGGOL,TOTAL,33 ,Total,3670 
PUNGGOL,TOTAL,33 ,Males,1670 
PUNGGOL,TOTAL,33 ,Females,1990 
PUNGGOL,TOTAL,34 ,Total,3700 
PUNGGOL,TOTAL,34 ,Males,1680 
PUNGGOL,TOTAL,34 ,Females,2020 
PUNGGOL,TOTAL,35 ,Total,4250 
PUNGGOL,TOTAL,35 ,Males,1960 
PUNGGOL,TOTAL,35 ,Females,2300 
PUNGGOL,TOTAL,36 ,Total,4220 
PUNGGOL,TOTAL,36 ,Males,1890 
PUNGGOL,TOTAL,36 ,Females,2330 
PUNGGOL,TOTAL,37 ,Total,3870 
PUNGGOL,TOTAL,37 ,Males,1790 
PUNGGOL,TOTAL,37 ,Females,2070 
PUNGGOL,TOTAL,38 ,Total,3980 
PUNGGOL,TOTAL,38 ,Males,1830 
PUNGGOL,TOTAL,38 ,Females,2150 
PUNGGOL,TOTAL,39 ,Total,4500 
PUNGGOL,TOTAL,39 ,Males,2050 
PUNGGOL,TOTAL,39 ,Females,2460 
PUNGGOL,TOTAL,40 ,Total,4260 
PUNGGOL,TOTAL,40 ,Males,1960 
PUNGGOL,TOTAL,40 ,Females,2300 
PUNGGOL,TOTAL,41 ,Total,4590 
PUNGGOL,TOTAL,41 ,Males,2220 
PUNGGOL,TOTAL,41 ,Females,2380 
PUNGGOL,TOTAL,42 ,Total,4420 
PUNGGOL,TOTAL,42 ,Males,2180 
PUNGGOL,TOTAL,42 ,Females,2250 
PUNGGOL,TOTAL,43 ,Total,4310 
PUNGGOL,TOTAL,43 ,Males,2080 
PUNGGOL,TOTAL,43 ,Females,2230 
PUNGGOL,TOTAL,44 ,Total,3970 
PUNGGOL,TOTAL,44 ,Males,2030 
PUNGGOL,TOTAL,44 ,Females,1940 
PUNGGOL,TOTAL,45 ,Total,3780 
PUNGGOL,TOTAL,45 ,Males,1830 
PUNGGOL,TOTAL,45 ,Females,1950 
PUNGGOL,TOTAL,46 ,Total,3500 
PUNGGOL,TOTAL,46 ,Males,1730 
PUNGGOL,TOTAL,46 ,Females,1770 
PUNGGOL,TOTAL,47 ,Total,3660 
PUNGGOL,TOTAL,47 ,Males,1850 
PUNGGOL,TOTAL,47 ,Females,1810 
PUNGGOL,TOTAL,48 ,Total,3290 
PUNGGOL,TOTAL,48 ,Males,1730 
PUNGGOL,TOTAL,48 ,Females,1560 
PUNGGOL,TOTAL,49 ,Total,3180 
PUNGGOL,TOTAL,49 ,Males,1600 
PUNGGOL,TOTAL,49 ,Females,1580 
PUNGGOL,TOTAL,50 ,Total,3240 
PUNGGOL,TOTAL,50 ,Males,1630 
PUNGGOL,TOTAL,50 ,Females,1610 
PUNGGOL,TOTAL,51 ,Total,3230 
PUNGGOL,TOTAL,51 ,Males,1720 
PUNGGOL,TOTAL,51 ,Females,1500 
PUNGGOL,TOTAL,52 ,Total,2830 
PUNGGOL,TOTAL,52 ,Males,1510 
PUNGGOL,TOTAL,52 ,Females,1320 
PUNGGOL,TOTAL,53 ,Total,2560 
PUNGGOL,TOTAL,53 ,Males,1300 
PUNGGOL,TOTAL,53 ,Females,1260 
PUNGGOL,TOTAL,54 ,Total,2210 
PUNGGOL,TOTAL,54 ,Males,1130 
PUNGGOL,TOTAL,54 ,Females,1080 
PUNGGOL,TOTAL,55 ,Total,2110 
PUNGGOL,TOTAL,55 ,Males,1070 
PUNGGOL,TOTAL,55 ,Females,1030 
PUNGGOL,TOTAL,56 ,Total,2080 
PUNGGOL,TOTAL,56 ,Males,1070 
PUNGGOL,TOTAL,56 ,Females,1010 
PUNGGOL,TOTAL,57 ,Total,1920 
PUNGGOL,TOTAL,57 ,Males,1000 
PUNGGOL,TOTAL,57 ,Females,920 
PUNGGOL,TOTAL,58 ,Total,2060 
PUNGGOL,TOTAL,58 ,Males,1060 
PUNGGOL,TOTAL,58 ,Females,1000 
PUNGGOL,TOTAL,59 ,Total,1860 
PUNGGOL,TOTAL,59 ,Males,980 
PUNGGOL,TOTAL,59 ,Females,890 
PUNGGOL,TOTAL,60 ,Total,1930 
PUNGGOL,TOTAL,60 ,Males,1010 
PUNGGOL,TOTAL,60 ,Females,920 
PUNGGOL,TOTAL,61 ,Total,1760 
PUNGGOL,TOTAL,61 ,Males,920 
PUNGGOL,TOTAL,61 ,Females,850 
PUNGGOL,TOTAL,62 ,Total,1650 
PUNGGOL,TOTAL,62 ,Males,860 
PUNGGOL,TOTAL,62 ,Females,800 
PUNGGOL,TOTAL,63 ,Total,1630 
PUNGGOL,TOTAL,63 ,Males,810 
PUNGGOL,TOTAL,63 ,Females,820 
PUNGGOL,TOTAL,64 ,Total,1570 
PUNGGOL,TOTAL,64 ,Males,800 
PUNGGOL,TOTAL,64 ,Females,770 
PUNGGOL,TOTAL,65 ,Total,1460 
PUNGGOL,TOTAL,65 ,Males,690 
PUNGGOL,TOTAL,65 ,Females,770 
PUNGGOL,TOTAL,66 ,Total,1460 
PUNGGOL,TOTAL,66 ,Males,690 
PUNGGOL,TOTAL,66 ,Females,780 
PUNGGOL,TOTAL,67 ,Total,1400 
PUNGGOL,TOTAL,67 ,Males,640 
PUNGGOL,TOTAL,67 ,Females,760 
PUNGGOL,TOTAL,68 ,Total,1350 
PUNGGOL,TOTAL,68 ,Males,620 
PUNGGOL,TOTAL,68 ,Females,730 
PUNGGOL,TOTAL,69 ,Total,1300 
PUNGGOL,TOTAL,69 ,Males,630 
PUNGGOL,TOTAL,69 ,Females,670 
PUNGGOL,TOTAL,70 ,Total,1200 
PUNGGOL,TOTAL,70 ,Males,550 
PUNGGOL,TOTAL,70 ,Females,650 
PUNGGOL,TOTAL,71 ,Total,1150 
PUNGGOL,TOTAL,71 ,Males,540 
PUNGGOL,TOTAL,71 ,Females,610 
PUNGGOL,TOTAL,72 ,Total,1130 
PUNGGOL,TOTAL,72 ,Males,520 
PUNGGOL,TOTAL,72 ,Females,610 
PUNGGOL,TOTAL,73 ,Total,970 
PUNGGOL,TOTAL,73 ,Males,430 
PUNGGOL,TOTAL,73 ,Females,550 
PUNGGOL,TOTAL,74 ,Total,940 
PUNGGOL,TOTAL,74 ,Males,410 
PUNGGOL,TOTAL,74 ,Females,540 
PUNGGOL,TOTAL,75 ,Total,940 
PUNGGOL,TOTAL,75 ,Males,430 
PUNGGOL,TOTAL,75 ,Females,510 
PUNGGOL,TOTAL,76 ,Total,890 
PUNGGOL,TOTAL,76 ,Males,400 
PUNGGOL,TOTAL,76 ,Females,500 
PUNGGOL,TOTAL,77 ,Total,820 
PUNGGOL,TOTAL,77 ,Males,390 
PUNGGOL,TOTAL,77 ,Females,430 
PUNGGOL,TOTAL,78 ,Total,510 
PUNGGOL,TOTAL,78 ,Males,230 
PUNGGOL,TOTAL,78 ,Females,280 
PUNGGOL,TOTAL,79 ,Total,340 
PUNGGOL,TOTAL,79 ,Males,160 
PUNGGOL,TOTAL,79 ,Females,180 
PUNGGOL,TOTAL,80 ,Total,440 
PUNGGOL,TOTAL,80 ,Males,190 
PUNGGOL,TOTAL,80 ,Females,240 
PUNGGOL,TOTAL,81 ,Total,320 
PUNGGOL,TOTAL,81 ,Males,140 
PUNGGOL,TOTAL,81 ,Females,180 
PUNGGOL,TOTAL,82 ,Total,310 
PUNGGOL,TOTAL,82 ,Males,130 
PUNGGOL,TOTAL,82 ,Females,180 
PUNGGOL,TOTAL,83 ,Total,350 
PUNGGOL,TOTAL,83 ,Males,150 
PUNGGOL,TOTAL,83 ,Females,200 
PUNGGOL,TOTAL,84 ,Total,290 
PUNGGOL,TOTAL,84 ,Males,120 
PUNGGOL,TOTAL,84 ,Females,170 
PUNGGOL,TOTAL,85 ,Total,250 
PUNGGOL,TOTAL,85 ,Males,100 
PUNGGOL,TOTAL,85 ,Females,150 
PUNGGOL,TOTAL,86 ,Total,200 
PUNGGOL,TOTAL,86 ,Males,80 
PUNGGOL,TOTAL,86 ,Females,120 
PUNGGOL,TOTAL,87 ,Total,140 
PUNGGOL,TOTAL,87 ,Males,50 
PUNGGOL,TOTAL,87 ,Females,90 
PUNGGOL,TOTAL,88 ,Total,120 
PUNGGOL,TOTAL,88 ,Males,50 
PUNGGOL,TOTAL,88 ,Females,70 
PUNGGOL,TOTAL,89 ,Total,140 
PUNGGOL,TOTAL,89 ,Males,50 
PUNGGOL,TOTAL,89 ,Females,90 
PUNGGOL,TOTAL,90 & Over,Total,400 
PUNGGOL,TOTAL,90 & Over,Males,120 
PUNGGOL,TOTAL,90 & Over,Females,280 
PUNGGOL,CONEY ISLAND,Total,Total,-
PUNGGOL,CONEY ISLAND,Total,Males,-
PUNGGOL,CONEY ISLAND,Total,Females,-
PUNGGOL,CONEY ISLAND,0,Total,-
PUNGGOL,CONEY ISLAND,0,Males,-
PUNGGOL,CONEY ISLAND,0,Females,-
PUNGGOL,CONEY ISLAND,1,Total,-
PUNGGOL,CONEY ISLAND,1,Males,-
PUNGGOL,CONEY ISLAND,1,Females,-
PUNGGOL,CONEY ISLAND,2,Total,-
PUNGGOL,CONEY ISLAND,2,Males,-
PUNGGOL,CONEY ISLAND,2,Females,-
PUNGGOL,CONEY ISLAND,3,Total,-
PUNGGOL,CONEY ISLAND,3,Males,-
PUNGGOL,CONEY ISLAND,3,Females,-
PUNGGOL,CONEY ISLAND,4,Total,-
PUNGGOL,CONEY ISLAND,4,Males,-
PUNGGOL,CONEY ISLAND,4,Females,-
PUNGGOL,CONEY ISLAND,5,Total,-
PUNGGOL,CONEY ISLAND,5,Males,-
PUNGGOL,CONEY ISLAND,5,Females,-
PUNGGOL,CONEY ISLAND,6,Total,-
PUNGGOL,CONEY ISLAND,6,Males,-
PUNGGOL,CONEY ISLAND,6,Females,-
PUNGGOL,CONEY ISLAND,7,Total,-
PUNGGOL,CONEY ISLAND,7,Males,-
PUNGGOL,CONEY ISLAND,7,Females,-
PUNGGOL,CONEY ISLAND,8,Total,-
PUNGGOL,CONEY ISLAND,8,Males,-
PUNGGOL,CONEY ISLAND,8,Females,-
PUNGGOL,CONEY ISLAND,9,Total,-
PUNGGOL,CONEY ISLAND,9,Males,-
PUNGGOL,CONEY ISLAND,9,Females,-
PUNGGOL,CONEY ISLAND,10,Total,-
PUNGGOL,CONEY ISLAND,10,Males,-
PUNGGOL,CONEY ISLAND,10,Females,-
PUNGGOL,CONEY ISLAND,11,Total,-
PUNGGOL,CONEY ISLAND,11,Males,-
PUNGGOL,CONEY ISLAND,11,Females,-
PUNGGOL,CONEY ISLAND,12,Total,-
PUNGGOL,CONEY ISLAND,12,Males,-
PUNGGOL,CONEY ISLAND,12,Females,-
PUNGGOL,CONEY ISLAND,13,Total,-
PUNGGOL,CONEY ISLAND,13,Males,-
PUNGGOL,CONEY ISLAND,13,Females,-
PUNGGOL,CONEY ISLAND,14,Total,-
PUNGGOL,CONEY ISLAND,14,Males,-
PUNGGOL,CONEY ISLAND,14,Females,-
PUNGGOL,CONEY ISLAND,15,Total,-
PUNGGOL,CONEY ISLAND,15,Males,-
PUNGGOL,CONEY ISLAND,15,Females,-
PUNGGOL,CONEY ISLAND,16,Total,-
PUNGGOL,CONEY ISLAND,16,Males,-
PUNGGOL,CONEY ISLAND,16,Females,-
PUNGGOL,CONEY ISLAND,17,Total,-
PUNGGOL,CONEY ISLAND,17,Males,-
PUNGGOL,CONEY ISLAND,17,Females,-
PUNGGOL,CONEY ISLAND,18,Total,-
PUNGGOL,CONEY ISLAND,18,Males,-
PUNGGOL,CONEY ISLAND,18,Females,-
PUNGGOL,CONEY ISLAND,19,Total,-
PUNGGOL,CONEY ISLAND,19,Males,-
PUNGGOL,CONEY ISLAND,19,Females,-
PUNGGOL,CONEY ISLAND,20,Total,-
PUNGGOL,CONEY ISLAND,20,Males,-
PUNGGOL,CONEY ISLAND,20,Females,-
PUNGGOL,CONEY ISLAND,21,Total,-
PUNGGOL,CONEY ISLAND,21,Males,-
PUNGGOL,CONEY ISLAND,21,Females,-
PUNGGOL,CONEY ISLAND,22,Total,-
PUNGGOL,CONEY ISLAND,22,Males,-
PUNGGOL,CONEY ISLAND,22,Females,-
PUNGGOL,CONEY ISLAND,23,Total,-
PUNGGOL,CONEY ISLAND,23,Males,-
PUNGGOL,CONEY ISLAND,23,Females,-
PUNGGOL,CONEY ISLAND,24,Total,-
PUNGGOL,CONEY ISLAND,24,Males,-
PUNGGOL,CONEY ISLAND,24,Females,-
PUNGGOL,CONEY ISLAND,25,Total,-
PUNGGOL,CONEY ISLAND,25,Males,-
PUNGGOL,CONEY ISLAND,25,Females,-
PUNGGOL,CONEY ISLAND,26,Total,-
PUNGGOL,CONEY ISLAND,26,Males,-
PUNGGOL,CONEY ISLAND,26,Females,-
PUNGGOL,CONEY ISLAND,27,Total,-
PUNGGOL,CONEY ISLAND,27,Males,-
PUNGGOL,CONEY ISLAND,27,Females,-
PUNGGOL,CONEY ISLAND,28,Total,-
PUNGGOL,CONEY ISLAND,28,Males,-
PUNGGOL,CONEY ISLAND,28,Females,-
PUNGGOL,CONEY ISLAND,29,Total,-
PUNGGOL,CONEY ISLAND,29,Males,-
PUNGGOL,CONEY ISLAND,29,Females,-
PUNGGOL,CONEY ISLAND,30,Total,-
PUNGGOL,CONEY ISLAND,30,Males,-
PUNGGOL,CONEY ISLAND,30,Females,-
PUNGGOL,CONEY ISLAND,31,Total,-
PUNGGOL,CONEY ISLAND,31,Males,-
PUNGGOL,CONEY ISLAND,31,Females,-
PUNGGOL,CONEY ISLAND,32,Total,-
PUNGGOL,CONEY ISLAND,32,Males,-
PUNGGOL,CONEY ISLAND,32,Females,-
PUNGGOL,CONEY ISLAND,33,Total,-
PUNGGOL,CONEY ISLAND,33,Males,-
PUNGGOL,CONEY ISLAND,33,Females,-
PUNGGOL,CONEY ISLAND,34,Total,-
PUNGGOL,CONEY ISLAND,34,Males,-
PUNGGOL,CONEY ISLAND,34,Females,-
PUNGGOL,CONEY ISLAND,35,Total,-
PUNGGOL,CONEY ISLAND,35,Males,-
PUNGGOL,CONEY ISLAND,35,Females,-
PUNGGOL,CONEY ISLAND,36,Total,-
PUNGGOL,CONEY ISLAND,36,Males,-
PUNGGOL,CONEY ISLAND,36,Females,-
PUNGGOL,CONEY ISLAND,37,Total,-
PUNGGOL,CONEY ISLAND,37,Males,-
PUNGGOL,CONEY ISLAND,37,Females,-
PUNGGOL,CONEY ISLAND,38,Total,-
PUNGGOL,CONEY ISLAND,38,Males,-
PUNGGOL,CONEY ISLAND,38,Females,-
PUNGGOL,CONEY ISLAND,39,Total,-
PUNGGOL,CONEY ISLAND,39,Males,-
PUNGGOL,CONEY ISLAND,39,Females,-
PUNGGOL,CONEY ISLAND,40,Total,-
PUNGGOL,CONEY ISLAND,40,Males,-
PUNGGOL,CONEY ISLAND,40,Females,-
PUNGGOL,CONEY ISLAND,41,Total,-
PUNGGOL,CONEY ISLAND,41,Males,-
PUNGGOL,CONEY ISLAND,41,Females,-
PUNGGOL,CONEY ISLAND,42,Total,-
PUNGGOL,CONEY ISLAND,42,Males,-
PUNGGOL,CONEY ISLAND,42,Females,-
PUNGGOL,CONEY ISLAND,43,Total,-
PUNGGOL,CONEY ISLAND,43,Males,-
PUNGGOL,CONEY ISLAND,43,Females,-
PUNGGOL,CONEY ISLAND,44,Total,-
PUNGGOL,CONEY ISLAND,44,Males,-
PUNGGOL,CONEY ISLAND,44,Females,-
PUNGGOL,CONEY ISLAND,45,Total,-
PUNGGOL,CONEY ISLAND,45,Males,-
PUNGGOL,CONEY ISLAND,45,Females,-
PUNGGOL,CONEY ISLAND,46,Total,-
PUNGGOL,CONEY ISLAND,46,Males,-
PUNGGOL,CONEY ISLAND,46,Females,-
PUNGGOL,CONEY ISLAND,47,Total,-
PUNGGOL,CONEY ISLAND,47,Males,-
PUNGGOL,CONEY ISLAND,47,Females,-
PUNGGOL,CONEY ISLAND,48,Total,-
PUNGGOL,CONEY ISLAND,48,Males,-
PUNGGOL,CONEY ISLAND,48,Females,-
PUNGGOL,CONEY ISLAND,49,Total,-
PUNGGOL,CONEY ISLAND,49,Males,-
PUNGGOL,CONEY ISLAND,49,Females,-
PUNGGOL,CONEY ISLAND,50,Total,-
PUNGGOL,CONEY ISLAND,50,Males,-
PUNGGOL,CONEY ISLAND,50,Females,-
PUNGGOL,CONEY ISLAND,51,Total,-
PUNGGOL,CONEY ISLAND,51,Males,-
PUNGGOL,CONEY ISLAND,51,Females,-
PUNGGOL,CONEY ISLAND,52,Total,-
PUNGGOL,CONEY ISLAND,52,Males,-
PUNGGOL,CONEY ISLAND,52,Females,-
PUNGGOL,CONEY ISLAND,53,Total,-
PUNGGOL,CONEY ISLAND,53,Males,-
PUNGGOL,CONEY ISLAND,53,Females,-
PUNGGOL,CONEY ISLAND,54,Total,-
PUNGGOL,CONEY ISLAND,54,Males,-
PUNGGOL,CONEY ISLAND,54,Females,-
PUNGGOL,CONEY ISLAND,55,Total,-
PUNGGOL,CONEY ISLAND,55,Males,-
PUNGGOL,CONEY ISLAND,55,Females,-
PUNGGOL,CONEY ISLAND,56,Total,-
PUNGGOL,CONEY ISLAND,56,Males,-
PUNGGOL,CONEY ISLAND,56,Females,-
PUNGGOL,CONEY ISLAND,57,Total,-
PUNGGOL,CONEY ISLAND,57,Males,-
PUNGGOL,CONEY ISLAND,57,Females,-
PUNGGOL,CONEY ISLAND,58,Total,-
PUNGGOL,CONEY ISLAND,58,Males,-
PUNGGOL,CONEY ISLAND,58,Females,-
PUNGGOL,CONEY ISLAND,59,Total,-
PUNGGOL,CONEY ISLAND,59,Males,-
PUNGGOL,CONEY ISLAND,59,Females,-
PUNGGOL,CONEY ISLAND,60,Total,-
PUNGGOL,CONEY ISLAND,60,Males,-
PUNGGOL,CONEY ISLAND,60,Females,-
PUNGGOL,CONEY ISLAND,61,Total,-
PUNGGOL,CONEY ISLAND,61,Males,-
PUNGGOL,CONEY ISLAND,61,Females,-
PUNGGOL,CONEY ISLAND,62,Total,-
PUNGGOL,CONEY ISLAND,62,Males,-
PUNGGOL,CONEY ISLAND,62,Females,-
PUNGGOL,CONEY ISLAND,63,Total,-
PUNGGOL,CONEY ISLAND,63,Males,-
PUNGGOL,CONEY ISLAND,63,Females,-
PUNGGOL,CONEY ISLAND,64,Total,-
PUNGGOL,CONEY ISLAND,64,Males,-
PUNGGOL,CONEY ISLAND,64,Females,-
PUNGGOL,CONEY ISLAND,65,Total,-
PUNGGOL,CONEY ISLAND,65,Males,-
PUNGGOL,CONEY ISLAND,65,Females,-
PUNGGOL,CONEY ISLAND,66,Total,-
PUNGGOL,CONEY ISLAND,66,Males,-
PUNGGOL,CONEY ISLAND,66,Females,-
PUNGGOL,CONEY ISLAND,67,Total,-
PUNGGOL,CONEY ISLAND,67,Males,-
PUNGGOL,CONEY ISLAND,67,Females,-
PUNGGOL,CONEY ISLAND,68,Total,-
PUNGGOL,CONEY ISLAND,68,Males,-
PUNGGOL,CONEY ISLAND,68,Females,-
PUNGGOL,CONEY ISLAND,69,Total,-
PUNGGOL,CONEY ISLAND,69,Males,-
PUNGGOL,CONEY ISLAND,69,Females,-
PUNGGOL,CONEY ISLAND,70,Total,-
PUNGGOL,CONEY ISLAND,70,Males,-
PUNGGOL,CONEY ISLAND,70,Females,-
PUNGGOL,CONEY ISLAND,71,Total,-
PUNGGOL,CONEY ISLAND,71,Males,-
PUNGGOL,CONEY ISLAND,71,Females,-
PUNGGOL,CONEY ISLAND,72,Total,-
PUNGGOL,CONEY ISLAND,72,Males,-
PUNGGOL,CONEY ISLAND,72,Females,-
PUNGGOL,CONEY ISLAND,73,Total,-
PUNGGOL,CONEY ISLAND,73,Males,-
PUNGGOL,CONEY ISLAND,73,Females,-
PUNGGOL,CONEY ISLAND,74,Total,-
PUNGGOL,CONEY ISLAND,74,Males,-
PUNGGOL,CONEY ISLAND,74,Females,-
PUNGGOL,CONEY ISLAND,75,Total,-
PUNGGOL,CONEY ISLAND,75,Males,-
PUNGGOL,CONEY ISLAND,75,Females,-
PUNGGOL,CONEY ISLAND,76,Total,-
PUNGGOL,CONEY ISLAND,76,Males,-
PUNGGOL,CONEY ISLAND,76,Females,-
PUNGGOL,CONEY ISLAND,77,Total,-
PUNGGOL,CONEY ISLAND,77,Males,-
PUNGGOL,CONEY ISLAND,77,Females,-
PUNGGOL,CONEY ISLAND,78,Total,-
PUNGGOL,CONEY ISLAND,78,Males,-
PUNGGOL,CONEY ISLAND,78,Females,-
PUNGGOL,CONEY ISLAND,79,Total,-
PUNGGOL,CONEY ISLAND,79,Males,-
PUNGGOL,CONEY ISLAND,79,Females,-
PUNGGOL,CONEY ISLAND,80,Total,-
PUNGGOL,CONEY ISLAND,80,Males,-
